iMOs,iORBl,iORBm,iORBvl,iPL,iAOB,iMOB,cMOs,cORBl,cORBm,cORBvl,cPL,cAOB,cMOB,,
A--1,,,,,,G--7,H--8,,,,,,N--14,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,iMOs,iORBl,iORBm,iORBvl,iPL,iAOB,iMOB,cMOs,cORBl,cORBm,cORBvl,cPL,cAOB,cMOB
,b0,0.012035104,0.884639316,0.992837797,0.120117229,0.289576939,0.512686398,0.378708774,0.16530223,0.829019356,0.415558417,0.550609633,0.174631103,0.278013231,0.267773019
,b1,0.198549805,-1.969071228,0.473290492,-0.345509772,-7.63762018,7.5304057,0.518145227,-2.397524369,-3.70070871,0.128967689,-0.150233752,1.014188508,-0.98217609,0.7719537
,b2,0.108783292,1.627685373,0.391273354,2.279007131,5.743584954,-1.96288914,1.819023465,-8.419801833,8.568391747,-8.913856229,0.111507651,9.160273864,1.950264863,0.91371796
,b3,-0.158033542,0.17488359,-0.43513938,-0.987685151,0.966998404,-2.813227938,-1.169616748,5.412101319,-2.433205008,4.443567291,0.01828725,-5.087438076,-0.484631336,-0.843794098
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
retrograde(W_r_ij),,iMOs,iORBl,iORBm,iORBvl,iPL,iAOB,iMOB,cMOs,cORBl,cORBm,cORBvl,cPL,cAOB,cMOB
,iMOs,0.766859198,0.195970922,0.011027265,0.047453936,0.01852094,0.015631102,0,1.023854028,0.142749658,0.006077473,0.063072071,0.00618628,0.003672271,8.26E-05
,iORBl,1.420788115,0.392450168,0.107367358,0.264604183,0.12406357,0.023023585,0,0.834262633,0.926977065,0.049813569,0.02409081,0.06088316,0.017487471,0
,iORBm,0.400892175,0.127955011,0,0.048954446,0.400216298,0,0,0.130025529,0.069928068,0.428232888,0,0.538729054,0.001041379,0
,iORBvl,0,0.109550692,0,0.06198328,0,0.011368708,0,0,0.123708244,0,0.725385051,0,0,0
,iPL,0,0,0.140540294,0.019340246,0,0,0,0,0.021345244,0,0,0.220261642,0,0
,iAOB,0,0.006820458,0.002048812,0,0.008231404,0,0.469022653,0,0,0,0,0,0,0
,iMOB,0,0,0,0,0.000233402,0.014682752,0.578634531,0,0,0,0,0,0.000105026,0
,cMOs,0.766859198,0.195970922,0.011027265,0.047453936,0.01852094,0.015631102,0,1.023854028,0.142749658,0.006077473,0.063072071,0.00618628,0.003672271,8.26E-05
,cORBl,1.420788115,0.392450168,0.107367358,0.264604183,0.12406357,0.023023585,0,0.834262633,0.926977065,0.049813569,0.02409081,0.06088316,0.017487471,0
,cORBm,0.400892175,0.127955011,0,0.048954446,0.400216298,0,0,0.130025529,0.069928068,0.428232888,0,0.538729054,0.001041379,0
,cORBvl,0,0.109550692,0,0.06198328,0,0.011368708,0,0,0.123708244,0,0.725385051,0,0,0
,cPL,0,0,0.140540294,0.019340246,0,0,0,0,0.021345244,0,0,0.220261642,0,0
,cAOB,0,0.006820458,0.002048812,0,0.008231404,0,0.469022653,0,0,0,0,0,0,0
,cMOB,0,0,0,0,0.000233402,0.014682752,0.578634531,0,0,0,0,0,0.000105026,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
euclidean,,iMOs,iORBl,iORBm,iORBvl,iPL,iAOB,iMOB,cMOs,cORBl,cORBm,cORBvl,cPL,cAOB,cMOB
,iMOs,0,74.07082641,77.39592942,72.65820835,48.42435831,92.12168536,129.1872163,106.3024996,135.7212985,94.60635515,109.4473919,77.91529272,134.9153635,155.243772
,iORBl,74.07082641,0,48.05655497,31.63633137,60.086645,44.84759663,72.27077334,135.7203047,121.6709144,75.09683689,93.10947548,88.76368607,114.5890297,117.0742833
,iORBm,77.39592942,48.05655497,0,17.29177004,34.1988892,47.15401165,68.87827023,95.11719814,76.21962524,27.6542095,45.95968212,46.35994373,69.65633537,82.15743267
,iORBvl,72.65820835,31.63633137,17.29177004,0,38.61786658,36.40339991,63.56559077,109.4364464,93.0973855,44.81897349,63.01629603,60.69573263,84.16152062,91.83478114
,iPL,48.42435831,60.086645,34.1988892,38.61786658,0,65.24635168,96.19372502,78.90127561,89.73554645,46.62575074,61.58223309,35.42032608,87.1419941,108.6209207
,iAOB,92.12168536,44.84759663,47.15401165,36.40339991,65.24635168,0,38.06944392,134.9101584,114.597365,68.57364138,84.16461375,86.37309826,91.39308536,88.44034165
,iMOB,129.1872163,72.27077334,68.87827023,63.56559077,96.19372502,38.06944392,0,155.2376712,117.0764931,81.21237194,91.82921421,108.1183829,88.43237103,69.72168113
,cMOs,106.3024996,135.7203047,95.11719814,109.4364464,78.90127561,134.9101584,155.2376712,0,74.06713488,78.28575421,72.65172685,49.20133955,92.11880703,129.1775854
,cORBl,135.7212985,121.6709144,76.21962524,93.0973855,89.73554645,114.597365,117.0764931,74.06713488,0,49.09955326,31.64082283,60.84268713,44.85682146,72.27743175
,cORBm,94.60635515,75.09683689,27.6542095,44.81897349,46.62575074,68.57364138,81.21237194,78.28575421,49.09955326,0,18.3584568,34.56593262,47.71299238,68.88583913
,cORBvl,109.4473919,93.10947548,45.95968212,63.01629603,61.58223309,84.16461375,91.82921421,72.65172685,31.64082283,18.3584568,0,38.99880932,36.3748577,63.54875162
,cPL,77.91529272,88.76368607,46.35994373,60.69573263,35.42032608,86.37309826,108.1183829,49.20133955,60.84268713,34.56593262,38.99880932,0,65.74667896,96.41443062
,cAOB,134.9153635,114.5890297,69.65633537,84.16152062,87.1419941,91.39308536,88.43237103,92.11880703,44.85682146,47.71299238,36.3748577,65.74667896,0,38.05964715
,cMOB,155.243772,117.0742833,82.15743267,91.83478114,108.6209207,88.44034165,69.72168113,129.1775854,72.27743175,68.88583913,63.54875162,96.41443062,38.05964715,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,iRSPagl,iVISam,iMS,cRSPagl,cVISam,cMS,,,,,,,,
,,"第52,AZ","第96,CR","第29,AC","第74,BV",第117DM,"第48,AV",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,iRSPagl,iVISam,iMS,cRSPagl,cVISam,cMS,,,,,,,,
,b0,4.4315,-0.9368,0.0496,0.03266587,0.900549151,0.913763357,,,,,,,,
,b1,4.1755,-3.1252,0.156,8.52958856,8.637312112,-4.350130483,,,,,,,,
retrograde(W_r_ij),b2,-1.4561,9.3813,0.3796,1.449649638,0.017290006,8.768623913,,,,,,,,
,b3,-2.2705,-3.1812,-0.3282,-5.104735369,-4.411482442,-3.227586997,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,iRSPagl,iVISam,iMS,cRSPagl,cVISam,cMS,,,,,,,,
,iRSPagl,0.3128,0.0741,0.0011,0.0891,0,0,,,,,,,,
,iVISam,0.2942,0.524,0,0.0982,0.1927,0,,,,,,,,
,iMS,0.0013,0.0018,0,0.0039,0.0021,0,,,,,,,,
,cRSPagl,0.3128,0.0741,0.0011,0.0891,0,0,,,,,,,,
,cVISam,0.2942,0.524,0,0.0982,0.1927,0,,,,,,,,
euclidean,cMS,0.0013,0.0018,0,0.0039,0.0021,0,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,iRSPagl,iVISam,iMS,cRSPagl,cVISam,cMS,,,,,,,,
,iRSPagl,0,23.8326,220.1313,103.6785,119.4014,221.0057,,,,,,,,
,iVISam,23.8326,0,215.8675,119.4073,132.0352,217.1351,,,,,,,,
,iMS,220.1313,215.8675,0,222.0584,218.3802,7.0012,,,,,,,,
,cRSPagl,103.6785,119.4073,222.0584,0,23.8404,219.7201,,,,,,,,
,cVISam,119.4014,132.0352,218.3802,23.8404,0,215.4806,,,,,,,,
,cMS,221.0057,217.1351,7.0012,219.7201,215.4806,0,,,,,,,,
